id,name,country
"Q12304532","Brøckhouse Brewery","Denmark"
"Q12304491","Refsvindinge Bryggeri","Denmark"
"Q12304498","Rahbeks Allé Brewery","Denmark"
"Q13445074","Caulier brewery","Belgium"
"Q13445075","Silenrieux brewery","Belgium"
"Q13445530","Brouwerij 't Paenhuys","Belgium"
"Q13445529","Brouwerij 't Gaverhopke","Belgium"
"Q13445537","Brouwerij Cnudde","Belgium"
"Q13445541","Brouwerij De Glazen Toren","Belgium"
"Q13445545","Brouwerij De Klok, Zottegem","Belgium"
"Q13445552","Brouwerij De Leeuw","Belgium"
"Q13445556","Brouwerij De Schelde","Belgium"
"Q13445557","Brouwerij De Schepper","Belgium"
"Q12305436","Carlsberg Danmark","Denmark"
"Q12314177","GourmetBryggeriet","Denmark"
"Q12315140","Hancock Bryggerierne","Denmark"
"Q12326217","Marstrands Bryggerier","Denmark"
"Q12329376","Ny Bryghus","Denmark"
"Q12329900","Odin Brewery","Denmark"
"Q12342024","Ørbæk Bryggeri","Denmark"
"Q12337287","Stjernen","Denmark"
"Q12084926","Mikulinetsky Brovar","Austria–Hungary"
"Q12675746","Utenos Alus","Lithuania"
"Q12678128","Volfas Engelman","Lithuania"
"Q12680342","Švyturys","Lithuania"
"Q12728035","Fabrica de Bere, Luther","Romania"
"Q13439309","Lindeboom","Netherlands"
"Q12877510","Macedonian Thrace Brewery","Greece"
"Q12282497","Kamenitza","Bulgaria"
"Q14622653","Saint-Feuillien beer","Belgium"
"Q14627972","Brasserie Schutzenberger","France"
"Q14627942","Mützig","France"
"Q14688958","Dubuque Star Brewery","United States"
"Q14713879","Redhook Ale Brewery","United States"
"Q14714485","Jacob Leinenkugel Brewing Company","United States"
"Q14744170","Stoombierbrouwerij De Keyzer","Netherlands"
"Q14849587","Brouwerij De Geest","Belgium"
"Q14875361","Northern Breweries","Canada"
"Q14875438","Steam Whistle Brewing","Canada"
"Q14906472","Paqué brewery, St. Wendel","Germany"
"Q14947900","Lenzei","Germany"
"Q15109862","Craft Brew Alliance","United States"
"Q15107943","Brauerei Alsfeld","Germany"
"Q15156880","Brasserie Ellezelloise","Belgium"
"Q15304359","Asia Pacific Breweries",""
"Q15217915","Flounder Brewing","United States"
"Q15218363","Franconia Brewing Company","United States"
"Q15218376","Frankenmuth Brewery","United States"
"Q15255982","Moorhouse's","United Kingdom"
"Q15269165","Pivovar Cvikov","Czech Republic"
"Q13445566","Brouwerij Het Kasteel","Belgium"
"Q13445567","Brouwerij Het Sleutelken","Belgium"
"Q13445575","Brouwerij Ressen","Belgium"
"Q13445572","Brouwerij Meiresonne","Belgium"
"Q13445573","Brouwerij Neyt","Belgium"
"Q13445578","Brouwerij Roegiers","Belgium"
"Q13445576","Brouwerij Desplenter","Belgium"
"Q13445582","Brouwerij Sint-Arnoldus","Belgium"
"Q13445583","Brouwerij Vermeulen","Belgium"
"Q13445585","Brouwerij Thienpont","Belgium"
"Q13445590","Brouwerij Van Overstraeten","Belgium"
"Q13445588","Brouwerij Ultra","Belgium"
"Q13445589","Brouwerij Van Cauwenberghe","Belgium"
"Q13445592","Brouwerij Vondel","Belgium"
"Q15427479","Zur Stadt Hamburg","Germany"
"Q15427562","Zum Schwarzen Adler","Germany"
